2026-04-30 22:19:58 | INFO     | eda | ────────────────────────────────────────────────────────────
2026-04-30 22:19:58 | INFO     | eda |   EDA — GTZAN Genre Classification
2026-04-30 22:19:58 | INFO     | eda | ────────────────────────────────────────────────────────────
2026-04-30 22:19:58 | INFO     | eda | Genres found: ['blues', 'classical', 'country', 'disco', 'hiphop', 'jazz', 'metal', 'pop', 'reggae', 'rock']
2026-04-30 22:19:58 | INFO     | eda | → plot_class_balance started
2026-04-30 22:19:58 | INFO     | eda | ────────────────────────────────────────────────────────────
2026-04-30 22:19:58 | INFO     | eda |   1. Class Balance
2026-04-30 22:19:58 | INFO     | eda | ────────────────────────────────────────────────────────────
2026-04-30 22:19:58 | DEBUG    | eda |   blues: 100 tracks
2026-04-30 22:19:58 | DEBUG    | eda |   classical: 100 tracks
2026-04-30 22:19:58 | DEBUG    | eda |   country: 100 tracks
2026-04-30 22:19:58 | DEBUG    | eda |   disco: 100 tracks
2026-04-30 22:19:58 | DEBUG    | eda |   hiphop: 100 tracks
2026-04-30 22:19:58 | DEBUG    | eda |   jazz: 99 tracks
2026-04-30 22:19:58 | DEBUG    | eda |   metal: 100 tracks
2026-04-30 22:19:58 | DEBUG    | eda |   pop: 100 tracks
2026-04-30 22:19:58 | DEBUG    | eda |   reggae: 100 tracks
2026-04-30 22:19:58 | DEBUG    | eda |   rock: 100 tracks
2026-04-30 22:19:58 | INFO     | eda | Total valid tracks: 999
2026-04-30 22:19:58 | INFO     | eda | Saved → /home/keerthanss/Projects/CMPE257ML/final/scripts/outputs/plots/eda/01_class_balance.png
2026-04-30 22:19:58 | INFO     | eda | ✓ plot_class_balance finished in 0.4s
2026-04-30 22:19:58 | INFO     | eda | → plot_waveforms started
2026-04-30 22:19:58 | INFO     | eda | ────────────────────────────────────────────────────────────
2026-04-30 22:19:58 | INFO     | eda |   2. Waveforms
2026-04-30 22:19:58 | INFO     | eda | ────────────────────────────────────────────────────────────
2026-04-30 22:19:58 | INFO     | eda | Loading waveforms in parallel …
2026-04-30 22:20:03 | INFO     | eda | Saved → /home/keerthanss/Projects/CMPE257ML/final/scripts/outputs/plots/eda/02_waveforms.png
2026-04-30 22:20:03 | INFO     | eda | ✓ plot_waveforms finished in 4.9s
2026-04-30 22:20:03 | INFO     | eda | → plot_mel_spectrograms started
2026-04-30 22:20:03 | INFO     | eda | ────────────────────────────────────────────────────────────
2026-04-30 22:20:03 | INFO     | eda |   3. Mel Spectrograms
2026-04-30 22:20:03 | INFO     | eda | ────────────────────────────────────────────────────────────
2026-04-30 22:20:03 | INFO     | eda | Computing mel spectrograms in parallel …
2026-04-30 22:20:07 | INFO     | eda | Saved → /home/keerthanss/Projects/CMPE257ML/final/scripts/outputs/plots/eda/03_mel_spectrograms.png
2026-04-30 22:20:07 | INFO     | eda | ✓ plot_mel_spectrograms finished in 3.9s
2026-04-30 22:20:07 | INFO     | eda | → plot_zcr_rms started
2026-04-30 22:20:07 | INFO     | eda | ────────────────────────────────────────────────────────────
2026-04-30 22:20:07 | INFO     | eda |   4. ZCR / RMS Distributions
2026-04-30 22:20:07 | INFO     | eda | ────────────────────────────────────────────────────────────
2026-04-30 22:20:07 | INFO     | eda | Loading 300 tracks for ZCR/RMS scan …
